,activity_type,acc_x,acc_y,acc_z
0,Still,996,-24,37
1,Still,997,-23,38
2,Still,995,-24,38
3,Still,995,-24,38
4,Still,995,-24,38
5,Still,997,-24,37
6,Still,998,-24,37
7,Still,995,-23,39
8,Still,995,-23,39
9,Still,995,-23,39
10,Still,1000,-24,37
11,Still,993,-23,37
12,Still,993,-23,37
13,Still,999,-24,37
14,Still,994,-23,37
15,Still,997,-24,37
16,Still,996,-23,38
17,Still,996,-23,38
18,Still,996,-24,38
19,Still,997,-24,37
20,Still,995,-24,38
21,Still,995,-24,38
22,Still,997,-24,37
23,Still,995,-23,38
24,Still,997,-23,37
25,Still,995,-24,37
26,Still,995,-24,37
27,Still,995,-23,38
28,Still,996,-23,38
29,Still,995,-23,36
30,Still,995,-23,36
31,Still,998,-24,37
32,Still,996,-24,38
33,Still,998,-24,38
34,Still,998,-24,38
35,Still,995,-23,37
36,Still,999,-25,39
37,Still,997,-24,36
38,Still,995,-24,38
39,Still,995,-24,38
40,Still,995,-23,39
41,Still,999,-24,36
42,Still,993,-23,38
43,Still,993,-23,38
44,Still,1000,-26,37
45,Still,998,-25,37
46,Still,994,-24,37
47,Still,999,-24,38
48,Still,999,-24,38
49,Still,994,-24,38
50,Still,998,-25,36
51,Still,994,-23,37
52,Still,994,-23,37
53,Still,997,-24,38
54,Still,995,-23,37
55,Still,995,-23,37
56,Still,998,-25,37
57,Still,998,-25,37
58,Still,996,-24,38
59,Still,996,-22,38
60,Still,998,-25,38
61,Still,998,-25,38
62,Still,993,-23,36
63,Still,998,-25,37
64,Still,997,-24,36
65,Still,995,-24,38
66,Still,995,-24,38
67,Still,999,-25,38
68,Still,996,-24,37
69,Still,998,-25,37
70,Still,998,-25,37
71,Still,996,-24,38
72,Still,997,-24,38
73,Still,997,-25,37
74,Still,997,-25,36
75,Still,997,-24,36
76,Still,995,-23,39
77,Still,998,-24,37
78,Still,995,-24,37
79,Still,995,-24,37
80,Still,999,-25,38
81,Still,997,-24,38
82,Still,992,-24,38
83,Still,992,-24,38
84,Still,997,-24,37
85,Still,999,-25,37
86,Still,996,-24,36
87,Still,996,-24,37
88,Still,996,-24,37
89,Still,996,-24,38
90,Still,997,-24,38
91,Still,998,-25,37
92,Still,998,-25,37
93,Still,996,-24,37
94,Still,995,-24,38
95,Still,999,-25,39
96,Still,996,-24,37
97,Still,996,-24,37
98,Still,996,-24,36
99,Still,996,-24,37
100,Still,996,-24,38
101,Still,996,-24,38
102,Still,995,-24,37
103,Still,997,-26,38
104,Still,1001,-23,39
105,Still,994,-23,37
106,Still,994,-23,37
107,Still,994,-27,36
108,Still,998,-22,37
